Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2240-24_r_1.5_s_50_BSNTN2240-24,BSNTN2240-24,r_1.5_s_50_merge,173,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2237-24_r_1_s_100_BSNTN2237-24,BSNTN2237-24,r_1_s_100_merge,111,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2225-24_r_1.3_s_50_BSNTN2225-24,BSNTN2225-24,r_1.3_s_50_merge,197,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2243-24_r_1_s_50_BSNTN2243-24,BSNTN2243-24,r_1_s_50_merge,4649556,312,124,1533,5.0,37.0,14.735812133072407,14.0,312,272,1,32,7,0,100.0,14.74,37.0,5.0
BSNTN2203-24_r_1.3_s_50_BSNTN2203-24,BSNTN2203-24,r_1.3_s_50_merge,2433614,34,20,1539,0.0,5.0,0.9512670565302144,0.0,34,29,0,4,1,0,48.54,1.96,5.0,1.0
BSNTN2226-24_r_1.5_s_100_BSNTN2226-24,BSNTN2226-24,r_1.5_s_100_merge,6134194,20,28,1569,0.0,6.0,0.9464627151051626,0.0,20,19,0,1,0,0,45.32,2.09,6.0,1.0
BSNTN2234-24_r_1.3_s_50_BSNTN2234-24,BSNTN2234-24,r_1.3_s_50_merge,6431925,374,822,1533,1.0,39.0,14.483365949119374,13.0,374,366,0,3,5,0,100.0,14.48,39.0,1.0
BSNTN2273-24_r_1.5_s_50_BSNTN2273-24,BSNTN2273-24,r_1.5_s_50_merge,9637276,60,616,1569,0.0,12.0,2.040152963671128,1.0,60,59,0,1,0,0,53.54,3.81,12.0,1.0
BSNTN2211-24_r_1_s_100_BSNTN2211-24,BSNTN2211-24,r_1_s_100_merge,294,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2235-24_r_1.3_s_50_BSNTN2235-24,BSNTN2235-24,r_1.3_s_50_merge,4848790,73,227,1569,0.0,12.0,2.260038240917782,2.0,73,66,0,3,4,0,70.36,3.21,12.0,1.0
BSNTN2247-24_r_1_s_50_BSNTN2247-24,BSNTN2247-24,r_1_s_50_merge,2241904,60,41,1569,0.0,10.0,2.0592734225621414,2.0,60,55,0,4,1,0,70.55,2.92,10.0,1.0
BSNTN2188-24_r_1.3_s_100_BSNTN2188-24,BSNTN2188-24,r_1.3_s_100_merge,1940962,4,1,1569,0.0,3.0,0.2332695984703633,0.0,4,4,0,0,0,0,14.91,1.56,3.0,1.0
BSNTN2266-24_r_1.3_s_100_BSNTN2266-24,BSNTN2266-24,r_1.3_s_100_merge,115,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2251-24_r_1.3_s_100_BSNTN2251-24,BSNTN2251-24,r_1.3_s_100_merge,2976035,46,1,1536,0.0,8.0,3.009765625,3.0,46,44,1,0,1,0,89.26,3.37,8.0,1.0
BSNTN2275-24_r_1.5_s_50_BSNTN2275-24,BSNTN2275-24,r_1.5_s_50_merge,8435988,266,722,1533,0.0,26.0,10.814090019569472,10.0,266,261,0,4,1,0,97.85,11.05,26.0,1.0
BSNTN2196-24_r_1_s_100_BSNTN2196-24,BSNTN2196-24,r_1_s_100_merge,312,0,0,1536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
