Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2992-24_r_1.3_s_100_BSNTN2992-24,BSNTN2992-24,r_1.3_s_100_merge,7085698,302,68,1524,0.0,68.0,26.12204724409449,26.0,302,300,0,0,2,0,92.91,28.11,68.0,1.0
BSNTN3018-24_r_1_s_50_BSNTN3018-24,BSNTN3018-24,r_1_s_50_merge,4804118,372,1827,1524,0.0,49.0,22.66732283464567,22.0,372,276,0,83,13,0,99.61,22.76,49.0,2.0
BSNTN3031-24_r_1.3_s_50_BSNTN3031-24,BSNTN3031-24,r_1.3_s_50_merge,11697362,851,6432,1524,0.0,169.0,56.54527559055118,40.0,851,691,62,77,21,0,98.23,57.57,169.0,1.0
BSNTN2949-24_r_1.5_s_100_BSNTN2949-24,BSNTN2949-24,r_1.5_s_100_merge,7909245,1405,2465,1524,0.0,420.0,121.88976377952756,75.0,1405,1398,0,0,7,0,92.32,132.03,420.0,2.0
BSNTN3024-24_r_1.5_s_50_BSNTN3024-24,BSNTN3024-24,r_1.5_s_50_merge,10407181,232,5893,1524,0.0,41.0,10.059055118110237,5.0,232,178,0,42,12,0,72.83,13.81,41.0,1.0
BSNTN3004-24_r_1_s_100_BSNTN3004-24,BSNTN3004-24,r_1_s_100_merge,7239175,699,34,1524,0.0,108.0,58.03346456692913,58.0,699,691,0,0,8,0,99.21,58.49,108.0,5.0
BSNTN2988-24_r_1.5_s_50_BSNTN2988-24,BSNTN2988-24,r_1.5_s_50_merge,7334031,184,2786,1524,0.0,79.0,7.2362204724409445,2.0,184,165,0,12,7,0,59.84,12.09,79.0,1.0
BSNTN2984-24_r_1.3_s_50_BSNTN2984-24,BSNTN2984-24,r_1.3_s_50_merge,10109272,402,5432,1524,0.0,137.0,13.458661417322835,8.0,402,338,0,44,20,0,76.97,17.49,137.0,1.0
BSNTN2957-24_r_1_s_50_BSNTN2957-24,BSNTN2957-24,r_1_s_50_merge,4632403,209,1177,1524,0.0,26.0,9.44488188976378,8.0,209,141,0,53,15,0,98.82,9.56,26.0,1.0
BSNTN2970-24_r_1_s_100_BSNTN2970-24,BSNTN2970-24,r_1_s_100_merge,7141923,488,27,1524,0.0,70.0,39.32086614173228,39.0,488,469,0,11,8,0,97.83,40.19,70.0,1.0
BSNTN2980-24_r_1.5_s_100_BSNTN2980-24,BSNTN2980-24,r_1.5_s_100_merge,6614322,377,246,1524,0.0,80.0,32.732283464566926,32.0,377,375,0,0,2,0,88.78,36.87,80.0,1.0
BSNTN2964-24_r_1.5_s_50_BSNTN2964-24,BSNTN2964-24,r_1.5_s_50_merge,6843754,528,3200,1524,0.0,107.0,33.330708661417326,26.5,528,516,0,8,4,0,82.68,40.31,107.0,1.0
